ID,Smiles,Tg,Polymer type
P040160.mol,*C(C*)C(=O)OCC(CC)C,-32.0,"Polyacrylics, Polyvinyls"
P040164.mol,*C(C*)C(=O)OCC(C)(C)C,22.0,"Polyacrylics, Polyvinyls"
P040168.mol,*C(C*)C(=O)OCCC#N,4.0,"Polyacrylics, Polyvinyls"
P040172.mol,*C(C*)C(=O)OCF,15.0,"Polyacrylics, Polyvinyls"
P040175.mol,*C(C*)C(=O)OCCOCCOC(C(F)F)(F)F,-40.0,"Polyacrylics, Polyvinyls"
P040177.mol,*C(C*)C(=O)OCCSC,-60.0,"Polyacrylics, Polyvinyls"
P040178.mol,*C(C*)C(=O)OCCCSC,-65.0,"Polyacrylics, Polyvinyls"
P040179.mol,*C(C*)C(=O)OCCSCC,-71.0,"Polyacrylics, Polyvinyls"
P040180.mol,*C(C*)C(=O)OCCCCSC,-70.0,"Polyacrylics, Polyvinyls"
P040181.mol,*C(C*)C(=O)OCCCSCC,-76.0,"Polyacrylics, Polyvinyls"
P040182.mol,*C(C*)C(=O)OCCSCC#N,-24.0,"Polyacrylics, Polyvinyls"
P040183.mol,*C(C*)C(=O)OCCSCCC#N,-50.0,"Polyacrylics, Polyvinyls"
P040184.mol,*C(C*)C(=O)OCCSCCCC#N,-58.0,"Polyacrylics, Polyvinyls"
P040185.mol,*C(C*)C(=O)OCCCSCCC#N,-58.0,"Polyacrylics, Polyvinyls"
P040186.mol,*C(C*)C(=O)OCCCCCCSCC#N,-59.0,"Polyacrylics, Polyvinyls"
P040187.mol,*C(C*)C(=O)OC12CC3(CC(CC(C1)C3)(C2)C)C,103.43,"Polyacrylics, Polyvinyls"
P040188.mol,*C(C*)C(=O)N1CCCCC1,108.0,"Polyacrylics, Polyvinyls"
P040189.mol,*C(C*)C(=O)N1CCOCC1,133.0,"Polyacrylics, Polyvinyls"
P040191.mol,*C(C*)C(=O)Oc1ccccc1,101.83,"Polyacrylics, Polyvinyls"
P040192.mol,*C(C*)C(=O)Oc1c(cccc1)C,51.5,"Polyacrylics, Polyvinyls"
P040193.mol,*C(C*)C(=O)Oc1cc(ccc1)C,24.5,"Polyacrylics, Polyvinyls"
P040194.mol,*C(C*)C(=O)Oc1ccc(cc1)C,42.5,"Polyacrylics, Polyvinyls"
P040195.mol,*C(C*)C(=O)Oc1c(cccc1)C(C)(C)C,72.0,"Polyacrylics, Polyvinyls"
P040196.mol,*C(C*)C(=O)Oc1ccc(cc1)C(C)(C)C,71.0,"Polyacrylics, Polyvinyls"
P040197.mol,*C(C*)C(=O)Oc1ccc(cc1)OC,49.67,"Polyacrylics, Polyvinyls"
P040198.mol,*C(C*)C(=O)Oc1c(cccc1)C(=O)OC,46.0,"Polyacrylics, Polyvinyls"
P040199.mol,*C(C*)C(=O)Oc1c(cccc1)C(=O)OCC,30.0,"Polyacrylics, Polyvinyls"
P040200.mol,*C(C*)C(=O)Oc1cc(ccc1)C(=O)OC,38.0,"Polyacrylics, Polyvinyls"
P040201.mol,*C(C*)C(=O)Oc1cc(ccc1)C(=O)OCC,24.0,"Polyacrylics, Polyvinyls"
P040202.mol,*C(C*)C(=O)Oc1ccc(cc1)C(=O)OC,67.0,"Polyacrylics, Polyvinyls"
P040203.mol,*C(C*)C(=O)Oc1ccc(cc1)C(=O)OCC,37.0,"Polyacrylics, Polyvinyls"
P040204.mol,*C(C*)C(=O)Oc1ccc(cc1)C(=O)OCCCC,13.0,"Polyacrylics, Polyvinyls"
P040205.mol,*C(C*)C(=O)Oc1ccc(cc1)c1ccccc1,105.0,"Polyacrylics, Polyvinyls"
P040206.mol,*C(C*)C(=O)OCc1ccccc1,9.25,"Polyacrylics, Polyvinyls"
P040207.mol,*C(C*)C(=O)OCCc1ccccc1,-3.0,"Polyacrylics, Polyvinyls"
P040208.mol,*C(C*)C(=O)Oc1cc(ccc1)N(C)C,47.0,"Polyacrylics, Polyvinyls"
P040210.mol,*C(C*)C(=O)Oc1ccc(cc1)C#N,92.0,"Polyacrylics, Polyvinyls"
P040211.mol,*C(C*)C(=O)OCc1ccc(cc1)C#N,44.0,"Polyacrylics, Polyvinyls"
P040212.mol,*C(C*)C(=O)Oc1c(cccc1)Cl,146.33,"Polyacrylics, Polyvinyls"
P040213.mol,*C(C*)C(=O)Oc1c(cc(cc1)Cl)Cl,60.0,"Polyacrylics, Polyvinyls"
P040214.mol,*C(C*)C(=O)Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,145.0,"Polyacrylics, Polyvinyls"
P040215.mol,*C(C*)C(=O)Oc1c2c(ccc1)cccc2,85.0,"Polyacrylics, Polyvinyls"
P040217.mol,*C(C*)C(=O)N(C)C,113.45,"Polyacrylics, Polyvinyls"
P040220.mol,*C(C*)C(=O)NC(C)(C)C,135.0,"Polyacrylics, Polyvinyls"
P040228.mol,*C(C*)(C(=O)OCCCCC)C,6.0,"Polyacrylics, Polyvinyls"
P040229.mol,*C(C*)(C(=O)OCC(CCCC)CC)C,-10.0,"Polyacrylics, Polyvinyls"
P040230.mol,*C(C*)(C(=O)OCCC(C)(C)C)C,45.0,"Polyacrylics, Polyvinyls"
P040231.mol,*C(C*)(C(=O)OC(C(C)(C)C)C)C,108.0,"Polyacrylics, Polyvinyls"
P040232.mol,*C(C*)(C(=O)OCCC(CC(C)(C)C)C)C,1.0,"Polyacrylics, Polyvinyls"
P040233.mol,*C(C*)(C(=O)OCCOC)C,22.75,"Polyacrylics, Polyvinyls"
P040234.mol,*C(C*)(C(=O)OCCOCCO)C,18.12,"Polyacrylics, Polyvinyls"
P040235.mol,*C(C*)(C(=O)OCC(O)C)C,72.67,"Polyacrylics, Polyvinyls"
P040236.mol,*C(C*)(C(=O)OCC(CO)O)C,84.4,"Polyacrylics, Polyvinyls"
P040237.mol,*C(C*)(C(=O)OCCNC(C)(C)C)C,41.0,"Polyacrylics, Polyvinyls"
P040239.mol,*C(C*)(C(=O)OCCC#N)C,79.0,"Polyacrylics, Polyvinyls"
P040241.mol,*C(C*)(C(=O)OCCO[N+](=O)[O-])C,55.0,"Polyacrylics, Polyvinyls"
P040244.mol,*C(C*)(C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F)C,36.67,"Polyacrylics, Polyvinyls"
P040245.mol,*C(C*)(C(=O)OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,49.0,"Polyacrylics, Polyvinyls"
P040246.mol,*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,-15.0,"Polyacrylics, Polyvinyls"
P040247.mol,*C(C*)(C(=O)OCCS(=O)CC)C,25.0,"Polyacrylics, Polyvinyls"
P040248.mol,*C(C*)(C(=O)O[Si](C)(C)C)C,97.5,"Polyacrylics, Polyvinyls"
P040250.mol,*C(C*)(C(=O)OCC1(COCOC1)C)C,142.0,"Polyacrylics, Polyvinyls"
P040251.mol,*C(C*)(C(=O)OCC1(COC(OC1)(C)C)C)C,104.0,"Polyacrylics, Polyvinyls"
P040252.mol,*C(C*)(C(=O)OCC(C1OCC(CO1)(C)C)(C)C)C,111.0,"Polyacrylics, Polyvinyls"
P040253.mol,*C(C*)(C(=O)OC12CC3CC(CC(C1)C3)C2)C,183.0,"Polyacrylics, Polyvinyls"
P040254.mol,*C(C*)(C(=O)OC12CC3(CC(CC(C1)C3)(C2)C)C)C,193.0,"Polyacrylics, Polyvinyls"
P040255.mol,*C(C*)(C(=O)Oc1ccc(cc1)CC#N)C,128.0,"Polyacrylics, Polyvinyls"
P040256.mol,*C(C*)(C(=O)Oc1ccc(cc1)C(=O)OC)C,106.0,"Polyacrylics, Polyvinyls"
P040261.mol,*C(C*)(C(=O)OCC)CC,27.0,"Polyacrylics, Polyvinyls"
P040262.mol,*C(C*)(CC(=O)OCC)C(=O)OCC,63.17,"Polyacrylics, Polyvinyls"
P040263.mol,*C(C*)(CC(=O)OCCCC)C(=O)OCCCC,22.38,"Polyacrylics, Polyvinyls"
P040264.mol,*C(C*)(C(=O)OCCCC)C#N,93.75,"Polyacrylics, Polyvinyls"
P040265.mol,*C(C*)(C(=O)OC)F,142.0,"Polyacrylics, Polyvinyls"
P040267.mol,*C(C*)(C(=O)OCC)CF,43.0,"Polyacrylics, Polyvinyls"
P040269.mol,*C(C*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,142.0,"Polyacrylics, Polyvinyls"
P040270.mol,*C(C*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,83.0,"Polyacrylics, Polyvinyls"
P040271.mol,*C(C*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,48.0,"Polyacrylics, Polyvinyls"
P040272.mol,*C(C*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,7.0,"Polyacrylics, Polyvinyls"
P040273.mol,*C(C*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,132.0,"Polyacrylics, Polyvinyls"
P040274.mol,*C(C*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,55.0,"Polyacrylics, Polyvinyls"
P040275.mol,*C(C*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,35.0,"Polyacrylics, Polyvinyls"
P040276.mol,*C(C*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,-8.0,"Polyacrylics, Polyvinyls"
P040278.mol,*C(C*)C(=O)Oc1ccc(cc1)Cl,148.67,"Polyacrylics, Polyvinyls"
P040279.mol,*C(C*)(C(=O)Oc1ccc(cc1)C#N)C,155.0,"Polyacrylics, Polyvinyls"
P040283.mol,*C(C*)C(=O)OCC(C(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-68.0,"Polyacrylics, Polyvinyls"
P040288.mol,*C(C*)C(=O)OCCC(OC)C,-56.0,"Polyacrylics, Polyvinyls"
P040289.mol,*C(C*)(C(=O)OC1CCC(CC1)C(C)(C)C)C,122.36,"Polyacrylics, Polyvinyls"
P040290.mol,*C(C*)(C(=O)OCC(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,12.5,"Polyacrylics, Polyvinyls"
P040291.mol,*C(C*)(C(=O)OCC(C)(C)C)C,32.67,"Polyacrylics, Polyvinyls"
P040292.mol,*C(C*)(C(=O)Oc1ccc(cc1)C(C)(C)C)C,88.57,"Polyacrylics, Polyvinyls"
P040294.mol,*C(C*)(CC(=O)OC)C(=O)OC,80.04,"Polyacrylics, Polyvinyls"
P040295.mol,*C(*)C(=O)OCC,12.35,"Polyacrylics, Polyvinyls"
P040296.mol,*C(*)C(=O)OC,80.25,"Polyacrylics, Polyvinyls"
P040297.mol,*C(*)C(=O)OCCC,-15.0,"Polyacrylics, Polyvinyls"
P040299.mol,*C(C*)C(=O)Oc1ccc(cc1)C(=O)O,113.33,"Polyacrylics, Polyvinyls"
P040300.mol,*C(C*)(C(=O)N)C,88.7,"Polyacrylics, Polyvinyls"
P040308.mol,*C(C*)(CC(=O)OCCCCC)C(=O)OCCCCC,2.0,"Polyacrylics, Polyvinyls"
P040310.mol,*C(C*)(CC(=O)OCCCCCC)C(=O)OCCCCCC,-17.75,"Polyacrylics, Polyvinyls"
P040314.mol,*C(C*)(CC(=O)OCCC)C(=O)OCCC,44.38,"Polyacrylics, Polyvinyls"
P040320.mol,*C(C*)(C(=O)OCC)C#N,115.0,"Polyacrylics, Polyvinyls"
P040325.mol,*C(C*)C(=O)OCCO,0.1,"Polyacrylics, Polyvinyls"
P040332.mol,*C(C*)(C(=O)Oc1c(cc(cc1)C)C)C,109.0,"Polyacrylics, Polyvinyls"
P040333.mol,*C(C*)(C(=O)Oc1cc(cc(c1)C)C)C,106.0,"Polyacrylics, Polyvinyls"
P040338.mol,*C(C*)(C(=O)OCCCCCC)C#N,86.0,"Polyacrylics, Polyvinyls"
P040339.mol,*C(C*)(C(=O)OCC1OC1)C,62.81,"Polyacrylics, Polyvinyls"
P044251.mol,*C(C*)(C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CC)C,125.25,"Polyacrylics, Polyvinyls"
P044252.mol,*C(C*)C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CC,103.56,"Polyacrylics, Polyvinyls"
P044290.mol,*C(C*)C(=O)OCCCCCC(=O)Oc1ccc(cc1)c1ccc(cc1)C#N,38.0,"Polyacrylics, Polyvinyls"
P044346.mol,*C(C*)(C(=O)NC(=O)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O)C,182.0,"Polyacrylics, Polyvinyls"
P044347.mol,*C(C*)(C(=O)NC(=O)OCCOc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCO)C,131.0,"Polyacrylics, Polyvinyls"
P044348.mol,*C(C*)(C(=O)NC(=O)OC(COc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCC(O)C)C)C,73.0,"Polyacrylics, Polyvinyls"
P044349.mol,*C(C*)(C(=O)NC(=O)Oc1c(cc(cc1Br)S(=O)(=O)c1cc(c(c(c1)Br)O)Br)Br)C,116.0,"Polyacrylics, Polyvinyls"
P044350.mol,*C(C*)(C(=O)NC(=O)OCCOc1c(cc(cc1Br)S(=O)(=O)c1cc(c(c(c1)Br)OCCO)Br)Br)C,110.0,"Polyacrylics, Polyvinyls"
P044351.mol,*C(C*)(C(=O)NC(=O)OC(COc1c(cc(cc1Br)S(=O)(=O)c1cc(c(c(c1)Br)OCC(O)C)Br)Br)C)C,45.0,"Polyacrylics, Polyvinyls"
P044368.mol,*C(C*)(C(=O)OCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C,89.64,"Polyacrylics, Polyvinyls"
P044370.mol,*C(C*)C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)C#N,19.5,"Polyacrylics, Polyvinyls"
P044380.mol,*C(C*)(C(=O)OCCCCn1c2ccccc2c2ccccc12)C,84.2,"Polyacrylics, Polyvinyls"
P044383.mol,*C(C*)C(=O)OCCCOc1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-],45.6,"Polyacrylics, Polyvinyls"
P044384.mol,*C(C*)C(=O)OCCCCOc1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-],36.7,"Polyacrylics, Polyvinyls"
P044385.mol,*C(C*)C(=O)OCCCCCCOc1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-],35.8,"Polyacrylics, Polyvinyls"
P044463.mol,*C(C*)C(=O)NCCCCCC(=O)O,68.0,"Polyacrylics, Polyvinyls"
P044464.mol,*C(C*)C(=O)OCc1c(c(c(c(c1Br)Br)Br)Br)Br,181.0,"Polyacrylics, Polyvinyls"
P044506.mol,*C(C*)(CCC(C(=O)OC)C)C(=O)OC,34.0,"Polyacrylics, Polyvinyls"
P044508.mol,*C(C*)C(=O)O[Na],230.0,"Polyacrylics, Polyvinyls"
P044512.mol,*C(C(CC*)C(=O)OC)C(=O)OC,31.2,"Polyacrylics, Polyvinyls"
P044514.mol,*C(C*)(C(=O)OCC#C)C,58.0,"Polyacrylics, Polyvinyls"
P044520.mol,*C(C*)(C(=O)OCC(C)C)C#N,51.0,"Polyacrylics, Polyvinyls"
P044521.mol,*C(C*)(C(=O)OC(C)C)C#N,66.0,"Polyacrylics, Polyvinyls"
P044522.mol,*C(C*)(C(=O)OCCCCCCC)C#N,102.0,"Polyacrylics, Polyvinyls"
P049038.mol,*C(C*)C(=O)OC1CCCCCCCCCCC1,37.0,"Polyacrylics, Polyvinyls"
P340005.mol,*C(C*)C(=O)NC,171.0,"Polyacrylics, Polyvinyls"
