PID,TdValue,Smiles
P090405,190,*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC
P090424,350,*OC(=O)CCCCCCCC(=O)OCCCC*
P090441,380,*OC(=O)COCC(=O)OCCCC*
P090519,446,*OC(=O)c1cc(ccc1)c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F
P090521,437,*OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
P090542,379,*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCC*
P090596,320,*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC
P090597,320,*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC
P094334,415,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCOC(=O)*)cc1
P094335,410,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCOC(=O)*)cc1
P094336,413,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCOC(=O)*)cc1
P094337,410,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCOC(=O)*)cc1
P094338,412,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCOC(=O)*)cc1
P094339,405,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCOC(=O)*)cc1
P094340,402,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCOC(=O)*)cc1
P094341,405,*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCCCOC(=O)*)cc1
P099018,415,*c1ccc2c(c1)c(=O)oc(n2)c1cc(cc(c1)N1C(=O)c2c(C1=O)cccc2)c1oc(=O)c2c(ccc(c2)C*)n1
P100002,404,*NC(=O)CCCCC(=O)NCCCC*
P100004,390.3909091,*NC(=O)CCCCC*
P100005,410.5,*NC(=O)CCCCC(=O)NCCCCCC*
P100021,372.5,*NC(=O)CCCCC(=O)NCCCCCCCCC*
P100068,370,*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*
P100075,302,*NC(=O)c1cc(ccc1)C(=O)NCC(CCC*)(C)C
P100101,396.8,*NC(=O)CCCCC(=O)NCc1cc(ccc1)C*
P100113,305,*NC(=O)CCCCC(=O)NCC(CCC*)(C)C
P100115,346,*NC(=O)CCCCCCCC(=O)NCC(CCC*)(C)C
P100116,341,*NC(=O)CCCCCC(=O)NCC(CCC*)(C)C
P100117,285,*NC(=O)c1ccc(cc1)C(=O)NCC(CCC*)(C)C
P100120,286,*NC(=O)C(=O)NCC(CCC*)(C)C
P100131,522.5,*Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*
P100136,479,*NC(=O)c1ccc(cc1)C(=O)NCCCCCC*
P100191,480,*NC(=O)CCCCC(=O)NC*
P100192,530,*NC(=O)CCCCCCCCC(=O)NC*
P100496,425,*Nc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1
P100793,364,*NC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)NCCCCCC*)Cl)Cl
P104291,457,*Nc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*
P104293,388,*Nc1cc(ccc1)C(=O)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*
